;Design, implementation, and evaluation of virtual learning environments;2012;9781466617704, 9781466617711, 9781466617728;Information Science Reference;LB1044.87 .D475 2012;4;
Koffman, Elliot B.;Data structures:abstraction and design using Java;2010;9,78047E+12;John Wiley & Sons, Inc.;QA76.73.J38 .K62 2010;6;
Molloy, Derek;Exploring BeagleBone:tools and techniques for building with embedded Linux;2015;9781118935125, 9781118935132, 9781118935217;John Wiley & Sons, Inc.;TK7895.E42 .M6556 2015;20;
;Euro-Par 2013:parallel processing workshops;2014;9783642544194, 9783642544200;Springer;QA76.58 .I58 2014;16;
Hahn, Brian D.;Essential Java for scientists and engineers;2002;9780750659918, 0750659912;Butterworth-Heinemann;QA76.73.J38 .H34 2002;2;
Larsen, Ronald W.;Engineering with Excel;2014;9,78129E+12;Pearson Education Limited;TA345 .L37 2014;9;
Larsen, Ronald W.;Engineering with Excel;2017;9780134589664, 0134589661;Pearson;TA345 .L37 2017;4;
Larsen, Ronald W.;Engineering with excel;2012;9,78013E+12;Pearson Prentice Hall;TA345 .L37 2002;1;
Smith, David M.;Engineering computation with MATLAB;2013;9780273769132, 0273769138;Pearson Education Limited;TA345 .S585 2013;12;
Musto, Joseph C.;Engineering computations:an introduction using MATLAB and Excel;2009;9,78007E+12;McGraw - Hill;TA329  .M87 2009;9;
;End-to-end game development:creating independent serious games and simulations from start to finish;2010;9780240811796, 0240811798, 9780080952246 (electronic bk.), 0080952240 (electronic bk.);Focal Press /Elsevier;QA76.76.C672 L87 2010;4;
Sandige, Richard S.;Fundamentals of digital and computer design with VHDL;2012;9,78126E+12;McGraw-Hill Higher Education;TK7868.D5 .S26 2012;10;
;Fundamental approaches to software engineering:17th international conference, FASE 2014, held as part of the European joint conferences on theory and practice of software, ETAPS 2014, Grenoble, France, April 5-13, 2014, Proceedings;2014;9783642548031, 9783642548048;Springer;QA76.758 .F89 2014;11;
;FPGAs 101:everything you need to know to get started;2010;9781856177061, 1856177068, 9780080959658 (electronic bk.), 0080959652 (electronic bk.);Newnes/Elsevier;TK7895.G36 S6525 2010;19;
Ross, Carl T. F.;Finite element programs in structural engineering and continuum mechanics;1996;9,7819E+12;Woodhead Publishing;TA641    .R67 1996;17;
Toulson, Rob;Fast and effective embedded systems design:applying the ARM mbed;2012;9,78008E+12;Newnes;TK7895.E42 .T68 2012;8;
;Gray hat hacking:the ethical hacker's handbook;2015;9,78007E+12;McGraw-Hill Education;QA76.9.A25 .G743 2015;11;
;GPU computing gems;2012;9780123859631 (electronic bk.), 0123859638 (electronic bk.), 9780123859648, 0123859646;Morgan Kaufmann/Elsevier;T385 .G6875 2012eb;8;
Pratap, Rudra;Getting started with MATLAB:a quick introduction for scientists and engineers;2010;9,7802E+12;Oxford University Press;Q183.9 .P73 2010;14;
Creese, Robert C.;Geometric programming for design and cost optimization [electronic resource]:with illustrative case study problems and solutions;2011;9781608456116 (electronic bk.);Morgan & Claypool; ;1;
;Game physics pearls;2010;9,78157E+12;A K Peters, Ltd;QA76.76.C672   G359 2010;2;
Cano, Nick;Game hacking:developing autonomous bots for online games;2016;9,78159E+12;No Starch Press, Inc.;QA76.76.I58 .C36 2016;7;
;Hydrocarbon and lipid microbiology protocols:statistics, data analysis, bioinformatics and modelling;2016;9,78366E+12;Springer;QP751 .H93 2016;6;
;Holistic game development with Unity;2012;9780240819334 (electronic bk.), 0240819330 (electronic bk.), 9780240819341 (electronic bk.), 0240819349 (electronic bk.);Focal Press,;QA76.76.C672 B335 2012;6;
Reinders, James;High performance parallelism pearls:multicore and many-core programming approaches;2015;9,78013E+12;Elsevier;QA76.642   .H54 2015;14;
;Handbook of applied algorithms:solving scientific, engineering, and practical problems;2007;9,78047E+12;John Wiley & Sons;QA76.9.A43  H353 2008 ;5;
Levy, Steven;Hackers:heroes of the computer revolution;2010;9,78145E+12;O'Reilly Media;QA76.6 .L469 2010;1;
Martinez, Sylvia Libow;Invent to learn:making, tinkering, and engineering in the classroom;2013;9,78099E+12;Constructing Modern Knowledge Press;LB1028.3 .M3818 2013;15;
O'Regan, Gerard;Introduction to the history of computing:a computing history primer;2016;9,78332E+12;Springer;QA76.17 .O74 2016;13;
Craig, John J.;Introduction to robotics:Mechanics and control;2005;9,78013E+12;Pearson Education;TJ211   .C67 2005;6;
Dean, John;Introduction to programming with Java:a problem solving approach;2014;9,78126E+12;McGraw-Hill;QA76.73.J38 .D43 2014;2;
Marcovitz, Alan B,;Introduction to logic design;2010;0073191647, 9780073191645;McGraw-Hill;TK7868.L6  .M355 2010;9;
Strang, Gilbert;Introduction to linear algebra;2009;9,78098E+12;Wellesley Cambridge Press;QA184   .S78 2009;8;
Rowe, Neil C.;Introduction to cyberdeception;2016;9,78332E+12;Springer;QA76.9.A25 .R69 2016;16;
Giannakopoulos, Theodoros;Introduction to audio analysis:a matlab approach;2014;9,78008E+12;Academic Press;TK7881.4  .G53 2014;4;
;Intelligent robotics and applications:second International Conference, ICIRA 2009, Singapore, December 16 - 18, 2009;2009;9783642108167, 3642108164;Springer;TJ211 .I27 2009;15;
Altice, Nathan;I am error:the Nintendo family computer/entertainment system platform;2015;9,78026E+12;MIT Press;GV1469.32 A55 2015;18;
;Knowledge discovery, knowledge engineering and knowledge management:4th International Joint Conference, IC3K 2012, Barcelona, Spain, October 4-7, 2012, Revised selected papers;2014;9783642541049, 9783642541056;Springer;QA76.9.D343 .K56 2014;7;
Sayood, Khalid;Learning programming using MATLAB;2006;9,7816E+12;Morgan & Claypool; ;5;
;Markov decision processes in practice;2017;9,78332E+12;Springer;QA274.7 .M37 2017;9;
Attaway, Stormy;MATLAB:a practical introduction to programming and problem solving;2011;9,78012E+12;Butterworth-Heinemann;QA297 .A87 2012;14;
Gilat, Amos;MATLAB:an introduction with applications;2011;9,78047E+12;Wiley;QA297    .G48 2011;16;
;MATLAB;2011;9780123850812 (electronic bk.), 0123850819 (electronic bk.);Butterworth-Heinemann,;QA297 .A87 2011;13;
Mangano, Sal;Mathematica cookbook;2010;9,7806E+12;O'Reilly;QA76.95 .M36 2010;14;
Zeid, Ibrahim;Mastering CAD/CAM;2005;9780072868456, 0072868457;McGraw-Hill Higher Education;TS155.6 .Z455 2005;6;
Wang, Lingfeng;Modern industrial automation software design:principles and real-world examples;2006;9780471683735, 0471683736;John Wiley and Sons, Inc.;T59.5 .W36 2006;6;
Clerman, Norman S.;Modern Fortran;2011;9781139027687 (ebook), 9780521514538 (hardback);Cambridge University Press; ;18;
Berry, Carlotta A.;Mobile robotics for multidisciplinary study;2012;9,78161E+12;Morgan & Claypool; ;2;
Gustafsson, Fredrik;Matlab for engineers explained;2003;9,78185E+12;Springer;TA345 .G878 2003;16;
Tranquillo, Joseph Vincent;MATLAB for engineering and the life sciences [electronic resources];2011;9781608457113 (electronic bk.);Morgan & Claypool; ;9;
Attaway, Stormy;MATLAB:a practical introduction to programming and problem solving;2017;9,78013E+12;Butterworth-Heinemann;QA297 .A87 2017;14;
;Multi-parametric programming. Volume 1,Theory, algorithms, and programming;2007;9,78353E+12;Wiley-VCH;T57.7 .M85 2007;1;
;Multi-parametric model-based control. Volume 2,Theory and applications;2007;9,78353E+12;Wiley-VCH;T57.7 .M85 2007;15;
Chang, Mark;Monte Carlo simulation for the pharmaceutical industry:concepts, algorithms, and case studies;2011;9,78144E+12;CRC Press;RM301.25 .C46 2011;14;
;Numerical methods in engineering with MATLAB;2009;9780511812200 (ebook), 9780521191333 (hardback);Cambridge University Press; ;3;
Tolic, Domagoj;Networked control systems with intermittent feedback;2017;9,7815E+12;CRC Press;TJ216 .T64 2017;13;
Kiusalaas, Jaan;Numerical methods in engineering with Python 3;2013;9,78111E+12;Cambridge University Press;TA345  .K584 2005;14;
Bennett, Simon;Object-oriented systems analysis and design using UML;1999;9780077094973, 0077094972;McGraw Hill;QA402 .B46 1999;9;
Kung, David C.;Object-oriented software engineering:an agile unified methodology;2014;9,78126E+12;McGraw-Hill;QA76.758 .K86 2014;16;
Lethbridge, Timothy C.;Object-oriented software engineering;2001;0077097610, 9780077097615;McGraw-Hill;QA76.76.D47 .L47 2001;11;
Schach, Stephen R.;Object-oriented and classical software engineering;2011;9780073376189, 0073376183;McGraw-Hill Companies;QA76.758 .S318 2011;10;
Schach, Stephen R.;Object-oriented and classical software engineering;2011;9,78007E+12;McGraw-Hill Connect Learn Succeed;QA76.758 .S318 2011;14;
Booch, Grady;Object-oriented analysis and design with applications;1994;9780805353402, 0805353402;Addison-Wesley;QA76.64 .B66 1994;17;
;Physically based rendering:from theory to implementation;2010;9780123750792, 0123750792, 9780123785800 (electronic bk.), 0123785804 (electronic bk.);Elsevier Science [distributor],;T385 .P43 2010;9;
;Pervasive information architecture:designing cross-channel user experiences;2011;9780123820945 (electronic bk.), 0123820944 (electronic bk.), 9780123820952 (electronic bk.), 0123820952 (electronic bk.);Morgan Kaufmann;QA76.5915 .R47 2011eb;7;
Gregoire, Marc R.;Professional C++;2011;9780470932445 , 0470932449 ;Wiley Pubishing, Inc.;QA76.73.C153   S665 2011;13;
Hanly, Jeri R.;Problem solving and program design in C;2013;9780273774198, 0273774190;Pearson;QA76.73.C15 .H363 2013;4;
Muhammad, Ali;Practical scientific computing;2011;9,78086E+12;Woodhead Publishing;QA76.9 .M35 .M85 2011;13;
Haupt, Randy L.;Practical genetic algorithms;2004;9,78047E+12;Wiley-Interscience;QA402.5 .H387 2004;8;
Langtangen, Hans Petter;Python scripting for computational science;2009;9,78354E+12;Springer;QA76.73.P98   L36 2004;8;
Lloyd, Seth;Programming the universe:a quantum computer scientist takes on the cosmos;2006;9,7814E+12;Vintage Books;QC174.12 .L57 2006;19;
Bentley, Jon;Programming pearls;2000;9,7802E+12;Addison-Wesley;QA76.6 .B453 2000;3;
Di Jasio, Lucio;Programming 16-bit PIC microcontrollers in C:learning to fly the PIC24;2012;9,78186E+12;Newnes;TJ223.P76  D54 2012;20;
Best, Michael J.;Quadratic programming with computer programs;2017;9,7815E+12;CRC Press;T57.82 .B47 2017;10;
;Rules of thumb for chemical engineers:a manual of quick, accurate solutions to everyday process engineering problems;2005;9,78075E+12;Elsevier;TP151 .R85 2005;17;
Laplante, Phillip A.;Real-time systems design and analysis:tools for the practitioner;2012;9,78047E+12;John Wiley & Sons Inc.;QA76.54  .L37 2012 ;9;
Fan, Xiaocong;Real-time embedded systems:design principles and engineering practices;2015;9,78013E+12;Newnes;TK7895.E42 .F36 2015;20;
Ng, Tian Seng;Real time control engineering:systems and automation;2016;9789811015090, 9789811015083;Springer;TJ217.7 .N4 2016;7;
Bard, Gregory V.;Sage for undergraduates;2015;9,78147E+12;American Mathematical Society;QA155.7.E4 B37 2015;11;
Quarteroni, Alfio;Scientific computing with Matlab and Octave;2014;9783642453663, 9783642453670;Springer;Q183.9   .Q8313 2006   ;4;
Braude, Eric J.;Software engineering:modern approaches;2011;9,78047E+12;John Wiley and Sons, Inc.;QA76.758 .B74 2011;19;
Pressman, Roger S.;Software engineering:a practitioner's approach;2015;9,78126E+12;McGraw-Hill Education ;QA76.6 .P74 2015;19;
Robinson, John A.;Software design for engineers and scientists;2004;9780750660808, 0750660805;Newnes;QA76.76.D47 .R63 2004;1;
Sogge, Robert L.;Solutions for soil and structural systems using Excel and VBA programs;2012;9,78112E+12;Wiley;TA710   .S586 2012;8;
Rajlich, Vaclav;Software engineering:the current practices;2012;9,78144E+12;CRC Press;QA76.758 .R36 2012;14;
Anthony, Richard John;Systems programming:designing and developing distributed applications;2016;9,78013E+12;Morgan Kaufmann;QA76.66 .A58 2016;20;
Xue, Dingyu;System simulation techniques with MATLAB and Simulink;2014;9781118694350, 9781118694374, 9781118647929;John Wiley & Sons, Ltd.;T57.62 .X84 2014;7;
Biegler, L.T.;Systematic methods of chemical process design;1997;9780134924229, 0134924223;Prentice Hall PTR,;TP155.7 .B47 1997;2;
;Summary of a workshop on software-intensive systems and uncertainty at scale;2007.;9780309108454 (electronic bk.), 0309108454 (electronic bk.);National Academies Press / National Academy Press;QA76.758 .S86 2007eb;7;
Norbisrath, Ulrich;Story driven modeling;2013;9781483949253, 1483949257;CreateSpace Independent Publishing Platform;QA76.76.D47 .C67 2013;14;
Xue, Dingyu;Solving applied mathematical problems with MATLAB;2009;9781420082500 , 1420082507;CRC Press/Taylor & Francis;TA331   .X84 2009;10;
Ensmenger, Nathan;The computer boys take over:computers, programmers, and the politics of technical expertise;2010;9,78026E+12;MIT Press;QA76.6 .E58 2010;16;
Pierce, Benjamin C.;Types and programming languages;2002;9,78026E+12;The MIT Press;QA76.7 .P54 2002;7;
Jacky, Jonathan;The way of Z;1997;521559766;Cambridge University Press,;QA76.73.Z2 .J33 1997;7;
Bellin, David;The CRC card book;1997;0201895358, 9780201895353;Addison-Wesley;QA76.64  .B437 1997;10;
Ibrahim, Dogan;Using LEDs, LCDs and GLCDs in microcontroller projects;2012;9,78112E+12;John Wiley & Sons, Ltd;TK7882.I6 .I185 2012;8;
Lauesen, Soren;User interface design:a software engineering perspective;2005;0321181433 , 9780321181435;Pearson Education;QA76.9.U83 .L38 2005;20;
